ID_produit,Nom_produit,Quantite_vendue,Prix_unitaire,Date_vente,Montant_total,Montant_normalise,Segment,Resultat_test
1,Chemise,10.0,25.0,2022-01-05,250.0,0.12044656535812935,Standard,
2,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
3,Chaussures,10.830860033726813,50.0,2022-01-07,541.5430016863406,0.2696272933787551,Premium,
4,Cravate,12.0,15.0,2022-01-08,180.0,0.08462800377015947,Basique,
5,Robe,15.0,45.0,2022-01-09,675.0,0.33791640357080366,Premium,
6,Pull,20.0,54.26479222881814,2022-01-10,1085.2958445763627,0.5478622175457545,Premium,
7,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
9,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.1972006259037791,Standard,
12,Montre,25.0,55.0,2022-01-15,1375.0,0.6961020194505024,Premium,
13,Chemise,10.0,25.0,2022-01-05,250.0,0.12044656535812935,Standard,
14,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
15,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5042168680863781,Premium,
16,Cravate,12.0,15.0,2022-01-08,180.0,0.08462800377015947,Basique,
17,Robe,15.0,45.0,2022-01-09,675.0,0.33791640357080366,Premium,
18,Pull,20.0,54.26479222881814,2022-01-10,1085.2958445763627,0.5478622175457545,Premium,
19,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
21,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.1972006259037791,Standard,
24,Montre,25.0,55.0,2022-01-15,1375.0,0.6961020194505024,Premium,
25,Chemise,10.0,25.0,2022-01-05,250.0,0.12044656535812935,Standard,
26,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
27,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5042168680863781,Premium,
28,Cravate,12.0,15.0,2022-01-08,180.0,0.08462800377015947,Basique,
29,Robe,15.0,45.0,2022-01-09,675.0,0.33791640357080366,Premium,
30,Pull,20.0,54.26479222881814,2022-01-10,1085.2958445763627,0.5478622175457545,Premium,
31,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
33,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.1972006259037791,Standard,
36,Montre,25.0,55.0,2022-01-15,1375.0,0.6961020194505024,Premium,
37,Chemise,10.0,25.0,2022-01-05,250.0,0.12044656535812935,Standard,
38,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
39,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5042168680863781,Premium,
40,Cravate,12.0,15.0,2022-01-08,180.0,0.08462800377015947,Basique,
41,Robe,15.0,45.0,2022-01-09,675.0,0.33791640357080366,Premium,
42,Pull,20.0,54.26479222881814,2022-01-10,1085.2958445763627,0.5478622175457545,Premium,
43,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
45,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.1972006259037791,Standard,
48,Montre,25.0,55.0,2022-01-15,1375.0,0.6961020194505024,Premium,
49,Chemise,10.0,25.0,2022-01-05,250.0,0.12044656535812935,Standard,
50,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
51,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5042168680863781,Premium,
52,Cravate,12.0,15.0,2022-01-08,180.0,0.08462800377015947,Basique,
53,Robe,15.0,45.0,2022-01-09,675.0,0.33791640357080366,Premium,
54,Pull,20.0,54.26479222881814,2022-01-10,1085.2958445763627,0.5478622175457545,Premium,
55,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
57,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.1972006259037791,Standard,
60,Montre,25.0,55.0,2022-01-15,1375.0,0.6961020194505024,Premium,
61,Chemise,10.0,25.0,2022-01-05,250.0,0.12044656535812935,Standard,
62,Pantalon,8.0,35.0,2022-01-06,280.0,0.13579737746725928,Standard,
